Index	JobID	FLRECO Runtime sec
52	66747035	4
22	66746857	5
77	66747193	4
60	66747084	6
62	66747097	5
56	66747059	5
34	66746933	6
71	66747152	5
61	66747090	5
35	66746937	5
86	66747245	5
18	66746836	5
69	66747144	6
75	66747179	4
7	66746772	6
14	66746813	6
90	66747267	6
50	66747023	6
6	66746769	5
51	66747029	6
25	66746876	5
20	66746847	6
99	66747317	6
92	66747275	5
97	66747304	5
98	66747311	6
96	66747298	5
16	66746823	6
42	66746977	6
39	66746959	7
11	66746795	8
33	66746926	7
13	66746806	6
66	66747122	8
24	66746870	7
9	66746782	8
12	66746800	6
63	66747103	6
1	66746737	7
76	66747184	8
27	66746889	7
3	66746747	6
0	66746730	7
29	66746900	7
88	66747255	7
15	66746820	7
4	66746755	6
37	66746949	7
68	66747137	7
59	66747077	7
95	66747290	8
70	66747148	7
44	66746989	8
89	66747262	7
47	66747009	7
94	66747283	7
83	66747226	8
19	66746841	8
55	66747053	7
40	66746966	7
23	66746864	7
45	66746996	7
81	66747217	8
80	66747211	7
30	66746905	9
31	66746912	7
36	66746943	8
79	66747206	8
2	66746743	8
93	66747278	8
21	66746853	9
41	66746972	7
26	66746882	8
32	66746920	9
53	66747040	8
38	66746953	8
72	66747159	8
87	66747250	8
84	66747231	9
54	66747046	9
46	66747002	8
43	66746983	8
82	66747221	8
65	66747117	9
57	66747066	8
49	66747019	8
5	66746762	7
17	66746831	8
10	66746789	7
58	66747072	8
67	66747130	9
64	66747111	9
73	66747166	10
85	66747238	9
48	66747016	7
74	66747172	10
91	66747272	9
78	66747200	10
28	66746896	11
8	66746777	9
