Index	JobID	FLRECO Runtime sec
0	66687894	3332
11	66687907	3568
41	66687941	3428
18	66687914	3813
43	66687943	3651
9	66687904	4192
42	66687942	3982
10	66687905	4202
16	66687912	4058
35	66687935	4045
45	66687945	4118
12	66687908	4526
7	66687902	4777
5	66687899	4603
13	66687909	4619
22	66687918	4513
8	66687903	4730
26	66687923	4662
6	66687901	4900
38	66687938	4843
15	66687911	4921
36	66687936	4817
54	66687954	4708
19	66687915	4921
14	66687910	4937
58	66687958	4632
47	66687947	4965
2	66687896	5130
30	66687930	5003
40	66687940	4979
57	66687957	4871
39	66687939	4925
1	66687895	5421
27	66687927	5185
20	66687916	5557
50	66687950	4959
44	66687944	5047
25	66687921	5402
31	66687931	5240
55	66687955	5203
48	66687948	5388
52	66687952	5309
90	66687993	3761
24	66687920	5602
51	66687951	5307
21	66687917	5727
95	66687998	3882
49	66687949	5457
28	66687928	5628
93	66687996	3911
32	66687932	5731
37	66687937	5801
66	66687967	4208
29	66687929	5940
34	66687934	5970
23	66687919	5959
4	66687898	6464
17	66687913	6110
56	66687956	5884
46	66687946	6034
3	66687897	6333
64	66687965	4494
60	66687960	4435
68	66687970	4593
82	66687985	4837
88	66687991	4643
74	66687976	4806
62	66687962	4617
73	66687975	4897
94	66687997	4740
65	66687966	5048
87	66687990	4897
71	66687973	4919
79	66687982	5180
99	66688002	4992
69	66687971	4917
61	66687961	5237
97	66688000	5035
86	66687989	5077
91	66687994	5110
53	66687953	7152
59	66687959	5441
96	66687999	5341
80	66687983	5501
33	66687933	7274
78	66687980	5578
75	66687977	5621
89	66687992	5646
70	66687972	5912
84	66687987	5899
63	66687963	6031
85	66687988	6140
83	66687986	6144
92	66687995	6318
81	66687984	6224
72	66687974	6297
76	66687978	6707
77	66687979	6971
67	66687968	6935
98	66688001	7721
