Index	JobID	FLSIMU Runtime sec
0	66687894	336
11	66687907	499
41	66687941	487
18	66687914	524
43	66687943	526
9	66687904	440
42	66687942	449
10	66687905	498
16	66687912	625
35	66687935	511
45	66687945	592
12	66687908	507
7	66687902	354
5	66687899	615
13	66687909	636
22	66687918	729
8	66687903	719
26	66687923	700
6	66687901	704
38	66687938	565
15	66687911	716
36	66687936	695
54	66687954	684
19	66687915	709
14	66687910	745
58	66687958	779
47	66687947	530
2	66687896	732
30	66687930	714
40	66687940	633
57	66687957	707
39	66687939	741
1	66687895	610
27	66687927	713
20	66687916	377
50	66687950	746
44	66687944	748
25	66687921	614
31	66687931	750
55	66687955	750
48	66687948	599
52	66687952	733
90	66687993	505
24	66687920	714
51	66687951	846
21	66687917	715
95	66687998	572
49	66687949	793
28	66687928	833
93	66687996	639
32	66687932	804
37	66687937	787
66	66687967	494
29	66687929	790
34	66687934	781
23	66687919	867
4	66687898	506
17	66687913	815
56	66687956	827
46	66687946	736
3	66687897	773
64	66687965	474
60	66687960	600
68	66687970	684
82	66687985	473
88	66687991	682
74	66687976	534
62	66687962	758
73	66687975	536
94	66687997	705
65	66687966	550
87	66687990	744
71	66687973	728
79	66687982	528
99	66688002	744
69	66687971	847
61	66687961	567
97	66688000	739
86	66687989	765
91	66687994	838
53	66687953	604
59	66687959	585
96	66687999	816
80	66687983	681
33	66687933	933
78	66687980	761
75	66687977	773
89	66687992	814
70	66687972	766
84	66687987	784
63	66687963	714
85	66687988	727
83	66687986	756
92	66687995	727
81	66687984	837
72	66687974	838
76	66687978	884
77	66687979	805
67	66687968	962
98	66688001	869
