Index	JobID	FLSIMU Runtime sec
61	66674173	458
60	66674171	395
59	66674169	410
12	66673898	544
80	66674212	583
90	66674232	441
40	66673929	500
88	66674228	566
42	66673931	491
99	66674252	523
58	66674167	588
91	66674234	567
39	66673928	809
56	66674163	603
92	66674236	627
89	66674230	646
93	66674238	418
55	66674161	557
25	66673912	698
68	66674187	815
30	66673918	701
66	66674183	759
79	66674209	841
98	66674250	797
50	66674153	805
54	66674159	736
11	66673897	838
32	66673920	812
62	66674176	751
28	66673916	828
67	66674185	771
73	66674197	806
44	66673933	744
71	66674194	586
85	66674221	567
47	66673936	761
5	66673891	828
4	66673890	820
43	66673932	797
76	66674203	735
33	66673921	802
18	66673905	843
3	66673889	863
20	66673907	846
87	66674226	821
35	66673923	603
81	66674214	825
65	66674181	846
69	66674189	774
72	66674196	819
14	66673900	852
17	66673904	759
6	66673892	825
48	66673937	781
83	66674217	814
37	66673926	829
97	66674248	817
51	66674156	828
23	66673910	840
1	66673887	823
74	66674200	827
41	66673930	839
9	66673895	871
53	66674158	796
70	66674191	775
77	66674205	565
96	66674246	853
24	66673911	817
84	66674219	747
52	66674157	830
86	66674223	853
46	66673935	778
22	66673909	849
57	66674165	787
29	66673917	887
8	66673894	844
26	66673913	851
15	66673901	766
10	66673896	861
34	66673922	863
13	66673899	758
63	66674177	778
94	66674241	658
36	66673924	780
38	66673927	841
31	66673919	839
75	66674201	562
19	66673906	876
45	66673934	787
27	66673914	798
82	66674215	835
16	66673902	572
0	66673886	939
2	66673888	903
78	66674207	786
7	66673893	910
95	66674244	886
21	66673908	932
64	66674179	740
49	66673939	863
