Index	JobID	FLSIMU Runtime sec
52	66698929	397
65	66698946	516
66	66698947	660
14	66698882	538
42	66698917	554
36	66698910	701
51	66698928	556
87	66698972	641
91	66698977	653
44	66698920	641
98	66698985	730
9	66698876	687
32	66698905	606
43	66698918	592
19	66698889	829
86	66698971	719
97	66698984	748
69	66698950	903
8	66698875	496
20	66698890	656
41	66698916	695
61	66698941	709
94	66698981	725
28	66698901	896
85	66698970	822
74	66698956	737
39	66698914	907
76	66698959	828
71	66698953	1056
4	66698871	847
31	66698904	703
40	66698915	884
90	66698976	755
16	66698886	880
95	66698982	1019
5	66698872	928
7	66698874	799
50	66698927	615
22	66698893	925
47	66698923	615
68	66698949	899
27	66698898	883
34	66698908	985
57	66698936	918
1	66698867	908
82	66698966	814
24	66698895	711
59	66698939	934
58	66698937	939
70	66698951	903
33	66698907	924
72	66698954	918
67	66698948	921
49	66698926	850
6	66698873	906
79	66698962	925
26	66698897	951
77	66698960	941
88	66698974	774
73	66698955	852
17	66698887	740
15	66698884	900
10	66698878	903
12	66698880	898
3	66698869	899
55	66698934	865
56	66698935	980
29	66698902	968
89	66698975	927
0	66698866	944
21	66698891	935
75	66698957	996
11	66698879	897
93	66698980	937
96	66698983	952
84	66698968	968
38	66698913	912
45	66698921	966
83	66698967	964
37	66698911	1004
62	66698942	962
35	66698909	952
46	66698922	935
54	66698933	932
81	66698964	962
18	66698888	884
13	66698881	917
48	66698925	933
30	66698903	895
64	66698944	953
60	66698940	990
92	66698978	948
63	66698943	1127
53	66698931	967
23	66698894	1119
99	66698987	986
80	66698963	988
2	66698868	989
25	66698896	1080
78	66698961	826
