Index	JobID	Memory MB
86	66412832	233.30
96	66412843	348.02
29	66412764	247.23
93	66412840	236.05
88	66412835	341.57
33	66412769	238.69
90	66412837	342.07
97	66412844	359.59
85	66412831	350.34
31	66412766	234.07
84	66412830	346.28
92	66412839	292.10
40	66412776	344.13
91	66412838	346.36
36	66412772	344.11
30	66412765	356.04
25	66412760	237.85
95	66412842	348.96
43	66412780	235.15
54	66412792	236.24
48	66412786	344.69
39	66412775	345.39
59	66412798	234.55
47	66412785	351.55
23	66412758	235.93
87	66412833	347.95
98	66412845	353.79
70	66412813	349.33
53	66412791	242.72
37	66412773	345.46
61	66412800	239.35
67	66412809	343.40
22	66412757	235.68
50	66412788	237.99
7	66412738	352.82
32	66412768	234.49
89	66412836	245.83
42	66412778	341.63
15	66412747	376.69
8	66412739	344.35
66	66412808	338.45
34	66412770	351.42
94	66412841	349.18
5	66412736	363.83
57	66412796	364.44
99	66412847	346.03
76	66412820	339.25
77	66412822	350.28
63	66412803	340.63
16	66412748	345.54
49	66412787	242.02
52	66412790	349.19
69	66412812	354.67
82	66412828	230.96
79	66412824	237.06
24	66412759	248.73
46	66412784	240.46
72	66412815	342.83
45	66412783	371.78
19	66412753	233.59
58	66412797	344.00
26	66412761	355.89
12	66412743	339.78
71	66412814	350.62
27	66412762	231.15
83	66412829	253.69
6	66412737	347.85
0	66412730	343.29
10	66412741	351.37
64	66412804	345.96
73	66412816	346.56
14	66412746	283.53
81	66412827	254.01
56	66412795	234.29
75	66412818	345.63
60	66412799	244.76
2	66412733	231.80
13	66412745	346.15
3	66412734	344.36
17	66412751	242.15
55	66412794	344.01
20	66412755	342.74
4	66412735	350.56
78	66412823	241.61
9	66412740	342.01
18	66412752	236.21
21	66412756	244.22
80	66412825	350.46
1	66412732	369.68
44	66412782	353.89
68	66412811	348.31
38	66412774	350.51
35	66412771	345.61
41	66412777	346.87
51	66412789	254.82
62	66412801	342.71
65	66412807	363.50
74	66412817	359.90
28	66412763	367.28
