Index	JobID	Runtime sec
83	66693380	11479
17	66693309	12697
48	66693344	12664
79	66693376	13581
61	66693358	13699
82	66693379	13796
77	66693374	13440
56	66693352	14220
14	66693305	14292
36	66693332	14477
1	66693290	14725
43	66693339	14700
58	66693354	14779
2	66693291	14842
54	66693350	15288
71	66693368	15305
29	66693324	15548
30	66693326	15631
21	66693314	15740
99	66693396	15687
46	66693342	15801
5	66693295	15986
59	66693355	15982
87	66693384	16040
72	66693369	16078
20	66693312	16188
18	66693310	16227
40	66693336	16244
38	66693334	16247
39	66693335	16289
80	66693377	16339
7	66693297	16402
53	66693349	16397
8	66693298	16450
24	66693319	16462
3	66693292	16502
63	66693360	16515
94	66693391	16516
32	66693328	16549
49	66693345	16555
23	66693317	16655
37	66693333	16658
9	66693299	16729
60	66693357	16715
28	66693323	16797
22	66693315	17168
6	66693296	17245
27	66693322	17416
69	66693366	17435
4	66693293	17502
15	66693306	17514
0	66693289	17540
62	66693359	17559
73	66693370	17568
50	66693346	17654
75	66693372	17662
34	66693330	17685
10	66693300	17794
55	66693351	17847
35	66693331	17855
33	66693329	17947
26	66693321	17996
95	66693392	17942
66	66693363	18067
11	66693302	18207
52	66693348	18239
70	66693367	18295
45	66693341	18349
65	66693362	18420
78	66693375	18493
44	66693340	18503
19	66693311	18560
51	66693347	18595
57	66693353	18677
85	66693382	18722
86	66693383	18888
96	66693393	18950
81	66693378	15355
90	66693387	19078
93	66693390	19088
13	66693304	19237
88	66693385	19432
41	66693337	15912
97	66693394	19614
25	66693320	19728
12	66693303	19806
16	66693308	20149
92	66693389	20167
42	66693338	20223
64	66693361	20539
89	66693386	20617
91	66693388	17213
98	66693395	21070
74	66693371	21114
31	66693327	21272
68	66693365	21379
84	66693381	21932
76	66693373	22353
67	66693364	21072
47	66693343	26590
