Index	JobID	Memory MB
30	66600952	701.62
98	66601052	519.07
8	66600924	503.41
78	66601024	622.10
33	66600955	698.86
50	66600977	511.20
51	66600978	558.32
39	66600963	528.94
63	66600993	622.95
49	66600975	638.81
4	66600919	621.14
52	66600980	528.44
26	66600946	627.26
66	66601009	531.28
38	66600961	521.45
57	66600986	697.13
74	66601018	591.86
69	66601012	698.29
32	66600954	626.65
77	66601023	513.84
67	66601010	637.69
13	66600930	515.12
12	66600929	628.18
68	66601011	698.18
91	66601044	627.67
93	66601046	584.92
92	66601045	521.14
72	66601015	521.21
64	66600996	511.12
20	66600939	509.61
7	66600923	622.20
89	66601040	626.72
47	66600973	698.01
2	66600916	514.98
35	66600958	631.35
59	66600988	624.56
25	66600945	634.97
84	66601031	506.00
48	66600974	526.18
37	66600960	626.40
36	66600959	520.13
75	66601019	700.19
97	66601050	510.18
31	66600953	560.66
58	66600987	529.88
15	66600932	671.73
3	66600918	529.78
80	66601026	650.89
90	66601043	616.83
10	66600927	519.01
23	66600943	517.75
96	66601049	505.41
87	66601035	529.20
46	66600972	506.00
53	66600981	529.09
11	66600928	529.89
29	66600950	558.31
16	66600933	523.90
85	66601032	522.78
88	66601036	632.56
83	66601029	547.82
34	66600956	697.67
62	66600992	520.75
55	66600983	702.28
95	66601048	547.91
1	66600915	513.81
28	66600948	632.86
19	66600937	505.04
94	66601047	618.52
86	66601033	517.58
5	66600920	704.02
9	66600925	523.21
73	66601017	494.43
81	66601027	505.72
24	66600944	599.67
27	66600947	636.67
42	66600967	583.83
65	66601006	699.29
21	66600941	515.33
99	66601053	536.22
40	66600965	583.51
76	66601021	625.14
82	66601028	702.23
18	66600936	524.64
79	66601025	526.86
17	66600935	630.08
45	66600970	542.04
22	66600942	596.41
71	66601014	514.24
14	66600931	614.52
6	66600922	534.93
54	66600982	615.31
43	66600968	620.68
60	66600989	579.72
70	66601013	701.57
56	66600984	697.70
41	66600966	620.60
0	66600914	530.89
61	66600991	594.13
44	66600969	547.26
