Index	JobID	FLSIMU Runtime sec
30	66600952	2354
98	66601052	2283
8	66600924	2249
78	66601024	2238
33	66600955	2332
50	66600977	1863
51	66600978	2444
39	66600963	1947
63	66600993	2432
49	66600975	2638
4	66600919	2419
52	66600980	2485
26	66600946	2248
66	66601009	2185
38	66600961	2513
57	66600986	3232
74	66601018	2549
69	66601012	2732
32	66600954	3254
77	66601023	2629
67	66601010	2523
13	66600930	2983
12	66600929	3196
68	66601011	3028
91	66601044	3143
93	66601046	3333
92	66601045	2473
72	66601015	2502
64	66600996	3065
20	66600939	2962
7	66600923	2559
89	66601040	3178
47	66600973	2813
2	66600916	3309
35	66600958	3078
59	66600988	3094
25	66600945	2824
84	66601031	3281
48	66600974	2315
37	66600960	3126
36	66600959	3280
75	66601019	3220
97	66601050	3675
31	66600953	3183
58	66600987	3409
15	66600932	3272
3	66600918	3349
80	66601026	3455
90	66601043	3267
10	66600927	3326
23	66600943	3174
96	66601049	3321
87	66601035	3371
46	66600972	3218
53	66600981	3338
11	66600928	3750
29	66600950	2905
16	66600933	3226
85	66601032	3353
88	66601036	2718
83	66601029	3313
34	66600956	3422
62	66600992	3366
55	66600983	3302
95	66601048	2979
1	66600915	3263
28	66600948	3302
19	66600937	3277
94	66601047	2785
86	66601033	3348
5	66600920	3291
9	66600925	3315
73	66601017	3158
81	66601027	3313
24	66600944	3566
27	66600947	3397
42	66600967	3653
65	66601006	3459
21	66600941	3926
99	66601053	3346
40	66600965	3208
76	66601021	3321
82	66601028	3321
18	66600936	3301
79	66601025	3491
17	66600935	3367
45	66600970	3238
22	66600942	3418
71	66601014	3383
14	66600931	3239
6	66600922	3283
54	66600982	3434
43	66600968	2841
60	66600989	3272
70	66601013	3294
56	66600984	3311
41	66600966	3277
0	66600914	4604
61	66600991	3348
44	66600969	2782
