Index	JobID	FLRECO Runtime sec
5	66843297	8
14	66843306	9
20	66843312	9
10	66843302	9
32	66843324	9
36	66843328	8
4	66843296	10
11	66843303	11
12	66843304	11
16	66843308	11
24	66843316	11
2	66843294	13
6	66843298	12
26	66843318	10
27	66843319	11
25	66843317	12
7	66843299	13
13	66843305	13
0	66843292	11
9	66843301	11
8	66843300	12
30	66843322	10
3	66843295	13
23	66843315	11
62	66843363	6
18	66843310	10
46	66843341	11
19	66843311	11
44	66843338	8
34	66843326	12
37	66843329	12
48	66843343	7
22	66843314	11
1	66843293	16
33	66843325	8
40	66843332	13
35	66843327	9
54	66843352	7
28	66843320	12
68	66843372	7
47	66843342	9
58	66843357	10
17	66843309	12
42	66843335	11
43	66843336	11
31	66843323	11
45	66843339	11
41	66843334	10
21	66843313	13
51	66843347	10
39	66843331	10
60	66843360	8
61	66843361	10
76	66843383	9
63	66843365	9
55	66843353	9
59	66843359	10
72	66843377	10
77	66843384	8
64	66843366	9
65	66843368	9
53	66843350	16
49	66843345	12
71	66843376	11
52	66843349	10
99	66843407	7
38	66843330	14
67	66843371	10
56	66843354	12
92	66843400	8
57	66843356	12
81	66843389	10
82	66843390	12
75	66843382	13
73	66843379	13
90	66843398	13
15	66843307	15
87	66843395	10
69	66843373	11
66	66843369	12
70	66843375	12
79	66843387	11
83	66843391	12
78	66843386	11
50	66843346	17
80	66843388	13
88	66843396	13
84	66843392	13
89	66843397	11
94	66843402	11
93	66843401	11
91	66843399	12
98	66843406	13
95	66843403	11
97	66843405	13
74	66843380	20
86	66843394	14
85	66843393	15
29	66843321	25
96	66843404	15
