Index	JobID	FLSIMU Runtime sec
2	66664145	81
4	66664147	81
7	66664150	82
84	66664234	39
67	66664212	42
78	66664225	43
98	66664248	44
27	66664171	42
33	66664177	56
52	66664197	53
24	66664168	65
43	66664188	53
68	66664213	48
53	66664198	58
75	66664220	49
35	66664179	60
48	66664193	56
26	66664170	70
82	66664232	43
11	66664154	125
56	66664201	40
23	66664167	86
61	66664206	68
83	66664233	54
69	66664214	62
81	66664231	57
89	66664239	60
20	66664164	72
76	66664221	58
91	66664241	60
92	66664242	61
94	66664244	68
87	66664237	61
95	66664245	62
86	66664236	49
85	66664235	65
80	66664230	50
31	66664175	84
54	66664199	69
3	66664146	123
8	66664151	106
37	66664181	74
60	66664205	60
79	66664228	87
19	66664163	85
38	66664182	84
99	66664249	72
90	66664240	77
18	66664162	88
14	66664157	81
13	66664156	89
40	66664184	87
12	66664155	87
21	66664165	91
17	66664161	88
6	66664149	128
28	66664172	91
58	66664203	82
39	66664183	89
1	66664144	140
16	66664160	87
9	66664152	118
0	66664143	125
22	66664166	92
46	66664191	86
29	66664173	88
34	66664178	90
50	66664195	83
36	66664180	87
63	66664208	83
10	66664153	118
45	66664190	88
72	66664217	87
30	66664174	91
5	66664148	142
41	66664185	83
44	66664189	77
57	66664202	78
59	66664204	86
66	66664211	87
77	66664223	87
42	66664186	88
49	66664194	88
55	66664200	103
70	66664215	81
15	66664159	100
88	66664238	87
62	66664207	85
64	66664209	87
74	66664219	87
51	66664196	89
32	66664176	90
71	66664216	85
65	66664210	101
25	66664169	89
97	66664247	83
47	66664192	93
73	66664218	88
96	66664246	88
93	66664243	95
