Index	JobID	FLRECO Runtime sec
2	66664145	436
4	66664147	485
7	66664150	509
84	66664234	418
67	66664212	440
78	66664225	465
98	66664248	466
27	66664171	604
33	66664177	600
52	66664197	570
24	66664168	626
43	66664188	581
68	66664213	575
53	66664198	576
75	66664220	569
35	66664179	634
48	66664193	610
26	66664170	662
82	66664232	595
11	66664154	664
56	66664201	661
23	66664167	680
61	66664206	641
83	66664233	623
69	66664214	616
81	66664231	625
89	66664239	615
20	66664164	740
76	66664221	655
91	66664241	623
92	66664242	639
94	66664244	648
87	66664237	660
95	66664245	665
86	66664236	687
85	66664235	705
80	66664230	725
31	66664175	777
54	66664199	756
3	66664146	807
8	66664151	829
37	66664181	802
60	66664205	792
79	66664228	733
19	66664163	838
38	66664182	814
99	66664249	727
90	66664240	736
18	66664162	860
14	66664157	867
13	66664156	862
40	66664184	799
12	66664155	865
21	66664165	863
17	66664161	868
6	66664149	869
28	66664172	852
58	66664203	818
39	66664183	811
1	66664144	870
16	66664160	894
9	66664152	897
0	66664143	905
22	66664166	899
46	66664191	841
29	66664173	886
34	66664178	875
50	66664195	851
36	66664180	883
63	66664208	843
10	66664153	920
45	66664190	854
72	66664217	822
30	66664174	906
5	66664148	915
41	66664185	874
44	66664189	887
57	66664202	888
59	66664204	880
66	66664211	871
77	66664223	857
42	66664186	888
49	66664194	892
55	66664200	881
70	66664215	873
15	66664159	955
88	66664238	840
62	66664207	896
64	66664209	897
74	66664219	879
51	66664196	912
32	66664176	958
71	66664216	887
65	66664210	889
25	66664169	984
97	66664247	860
47	66664192	917
73	66664218	914
96	66664246	882
93	66664243	902
