Index	JobID	Runtime sec
2	66664145	517
4	66664147	566
7	66664150	591
84	66664234	457
67	66664212	482
78	66664225	508
98	66664248	510
27	66664171	646
33	66664177	656
52	66664197	623
24	66664168	691
43	66664188	634
68	66664213	623
53	66664198	634
75	66664220	618
35	66664179	694
48	66664193	666
26	66664170	732
82	66664232	638
11	66664154	789
56	66664201	701
23	66664167	766
61	66664206	709
83	66664233	677
69	66664214	678
81	66664231	682
89	66664239	675
20	66664164	812
76	66664221	713
91	66664241	683
92	66664242	700
94	66664244	716
87	66664237	721
95	66664245	727
86	66664236	736
85	66664235	770
80	66664230	775
31	66664175	861
54	66664199	825
3	66664146	930
8	66664151	935
37	66664181	876
60	66664205	852
79	66664228	820
19	66664163	923
38	66664182	898
99	66664249	799
90	66664240	813
18	66664162	948
14	66664157	948
13	66664156	951
40	66664184	886
12	66664155	952
21	66664165	954
17	66664161	956
6	66664149	997
28	66664172	943
58	66664203	900
39	66664183	900
1	66664144	1010
16	66664160	981
9	66664152	1015
0	66664143	1030
22	66664166	991
46	66664191	927
29	66664173	974
34	66664178	965
50	66664195	934
36	66664180	970
63	66664208	926
10	66664153	1038
45	66664190	942
72	66664217	909
30	66664174	997
5	66664148	1057
41	66664185	957
44	66664189	964
57	66664202	966
59	66664204	966
66	66664211	958
77	66664223	944
42	66664186	976
49	66664194	980
55	66664200	984
70	66664215	954
15	66664159	1055
88	66664238	927
62	66664207	981
64	66664209	984
74	66664219	966
51	66664196	1001
32	66664176	1048
71	66664216	972
65	66664210	990
25	66664169	1073
97	66664247	943
47	66664192	1010
73	66664218	1002
96	66664246	970
93	66664243	997
