Index	JobID	Memory MB
22	66605825	372.05
36	66605847	402.30
85	66605921	365.21
42	66605856	375.63
43	66605858	329.95
28	66605835	345.43
98	66605947	354.53
93	66605941	360.74
13	66605812	350.89
41	66605855	346.13
23	66605827	507.05
95	66605943	423.31
89	66605929	346.40
84	66605920	398.15
4	66605800	412.00
2	66605797	525.88
12	66605810	377.31
38	66605851	419.48
63	66605888	352.26
71	66605898	370.52
96	66605944	424.78
37	66605850	516.30
56	66605876	401.94
20	66605823	367.25
86	66605923	367.89
3	66605798	399.41
67	66605893	390.57
70	66605897	507.27
88	66605927	419.42
87	66605925	344.84
99	66605948	331.93
15	66605815	332.18
69	66605896	520.67
75	66605905	524.82
91	66605936	401.53
94	66605942	412.12
44	66605859	376.89
68	66605894	352.00
92	66605938	349.25
45	66605860	406.39
11	66605809	348.50
39	66605852	336.66
72	66605900	361.21
50	66605868	404.44
76	66605906	348.28
7	66605804	351.03
5	66605801	364.24
73	66605901	403.29
1	66605796	494.04
49	66605866	408.88
0	66605794	367.66
64	66605889	509.24
6	66605802	349.02
32	66605841	400.29
34	66605845	366.76
17	66605818	414.51
79	66605910	366.38
21	66605824	335.73
47	66605863	348.13
66	66605892	373.11
83	66605917	406.79
24	66605828	378.74
46	66605861	345.89
19	66605820	334.80
51	66605870	358.60
29	66605837	341.78
27	66605833	407.73
65	66605890	408.78
62	66605884	374.97
97	66605946	371.69
74	66605903	326.44
25	66605829	395.75
78	66605909	355.68
52	66605871	363.54
30	66605838	405.76
54	66605874	364.06
8	66605805	412.67
60	66605882	508.23
33	66605843	400.46
18	66605819	362.80
77	66605908	366.76
10	66605807	372.77
57	66605878	399.51
40	66605854	369.13
59	66605880	342.62
35	66605846	396.36
82	66605915	346.72
58	66605879	407.07
48	66605864	362.62
55	66605875	352.41
14	66605814	520.81
80	66605912	403.52
26	66605832	401.60
9	66605806	366.41
90	66605934	351.38
61	66605883	364.77
31	66605840	346.00
16	66605816	359.89
53	66605872	401.53
81	66605913	344.12
