Index	JobID	FLRECO Runtime sec
11	66689526	6299
78	66689609	6274
7	66689521	6787
13	66689528	7369
64	66689591	7357
4	66689518	7958
5	66689519	8116
65	66689594	8049
79	66689610	8405
8	66689522	8293
39	66689562	8691
12	66689527	8492
93	66689626	8448
33	66689555	8612
58	66689584	8956
6	66689520	9137
20	66689537	8948
57	66689583	8943
84	66689616	8884
89	66689622	9137
23	66689540	9454
3	66689516	9309
35	66689557	9378
60	66689587	9252
90	66689623	9465
34	66689556	9629
48	66689573	9572
59	66689586	9666
21	66689538	9696
28	66689548	9962
46	66689570	9930
55	66689581	9968
76	66689606	9919
95	66689629	9616
32	66689554	9779
63	66689590	10305
36	66689559	10100
67	66689596	9726
14	66689529	9970
26	66689543	9774
96	66689630	9868
74	66689604	9912
16	66689532	10415
25	66689542	10016
77	66689608	10139
88	66689620	10295
1	66689514	10222
73	66689603	10136
56	66689582	10359
91	66689624	10530
54	66689580	10465
83	66689615	10213
17	66689533	10320
69	66689598	10272
53	66689579	10762
68	66689597	10163
61	66689588	10546
18	66689534	10356
27	66689547	10520
37	66689560	10930
72	66689602	10504
75	66689605	10723
94	66689627	10510
0	66689513	10662
80	66689611	10479
41	66689565	10847
52	66689577	10779
97	66689631	11063
10	66689525	11254
81	66689612	10727
51	66689576	10940
44	66689568	10972
40	66689563	11109
15	66689531	11304
29	66689549	11003
19	66689535	10711
99	66689633	10952
82	66689613	11529
87	66689619	11620
42	66689566	11664
66	66689595	11427
85	66689617	11648
22	66689539	12125
98	66689632	12155
43	66689567	12130
31	66689553	12138
71	66689601	12243
86	66689618	12381
45	66689569	12526
50	66689575	12313
47	66689572	12519
70	66689599	12761
30	66689551	13152
49	66689574	13313
92	66689625	13761
2	66689515	10979
9	66689524	11405
38	66689561	11957
62	66689589	12148
24	66689541	14094
