Index	JobID	Memory MB
68	66182278	307.61
62	66182272	416.95
56	66182266	246.01
48	66182258	231.10
67	66182277	253.54
38	66182248	223.67
7	66182217	266.86
63	66182273	252.53
13	66182223	258.13
37	66182247	231.18
26	66182236	228.42
22	66182232	243.04
92	66182302	259.00
57	66182267	253.56
21	66182231	231.11
45	66182255	217.66
78	66182288	273.30
93	66182303	264.00
43	66182253	224.52
65	66182275	253.62
60	66182270	267.93
44	66182254	237.68
55	66182265	245.41
64	66182274	222.07
46	66182256	233.39
58	66182268	261.74
69	66182279	231.01
32	66182242	219.75
8	66182218	219.80
47	66182257	273.24
16	66182226	236.95
25	66182235	231.68
17	66182227	254.94
54	66182264	246.54
15	66182225	250.35
14	66182224	237.12
18	66182228	242.95
0	66182210	252.20
3	66182213	277.12
33	66182243	259.57
70	66182280	291.23
11	66182221	263.86
9	66182219	244.38
12	66182222	285.12
94	66182304	429.06
83	66182293	315.68
10	66182220	246.53
1	66182211	286.12
88	66182298	281.37
5	66182215	294.52
24	66182234	248.88
74	66182284	280.24
97	66182307	263.57
99	66182309	259.15
89	66182299	231.55
95	66182305	292.13
90	66182300	282.98
2	66182212	300.46
35	66182245	238.45
4	66182214	245.14
85	66182295	314.47
71	66182281	230.10
28	66182238	248.08
87	66182297	274.34
30	66182240	246.03
27	66182237	235.19
84	66182294	298.41
61	66182271	249.41
36	66182246	238.88
34	66182244	230.40
29	66182239	257.85
6	66182216	280.60
59	66182269	228.99
77	66182287	298.44
86	66182296	260.91
51	66182261	299.27
72	66182282	259.11
20	66182230	239.67
49	66182259	257.26
52	66182262	257.78
80	66182290	298.46
40	66182250	274.11
31	66182241	244.01
81	66182291	299.08
42	66182252	312.04
50	66182260	314.39
96	66182306	229.92
19	66182229	257.82
53	66182263	242.05
76	66182286	333.05
75	66182285	422.36
23	66182233	306.06
98	66182308	252.71
82	66182292	266.03
79	66182289	235.43
41	66182251	428.28
73	66182283	233.58
39	66182249	261.54
91	66182301	260.62
