Index	JobID	Runtime sec
37	66698694	3551
67	66698725	3597
54	66698711	3658
81	66698739	3679
47	66698704	3793
75	66698733	3777
86	66698744	3936
43	66698700	4011
80	66698738	3985
53	66698710	4066
69	66698727	4080
13	66698669	4280
91	66698749	4265
76	66698734	4300
21	66698677	4345
49	66698706	4411
74	66698732	4377
61	66698719	4465
45	66698702	4514
90	66698748	4519
25	66698681	4573
29	66698685	4593
35	66698692	4597
42	66698699	4604
27	66698683	4613
77	66698735	4578
87	66698745	4620
36	66698693	4705
68	66698726	4716
0	66698656	4757
11	66698667	4763
33	66698689	4796
82	66698740	4764
72	66698730	4770
34	66698691	4808
55	66698712	4805
56	66698714	4841
97	66698757	4837
44	66698701	4879
4	66698660	4896
7	66698663	4906
96	66698756	4886
57	66698715	4930
84	66698742	4903
3	66698659	4964
22	66698678	4967
52	66698709	4980
9	66698665	5017
5	66698661	5030
62	66698720	5036
28	66698684	5041
46	66698703	5042
58	66698716	5041
71	66698729	5026
20	66698676	5066
26	66698682	5074
85	66698743	5047
60	66698718	5099
39	66698696	5135
15	66698671	5137
41	66698698	5143
17	66698673	5163
14	66698670	5166
2	66698658	5171
1	66698657	5216
94	66698753	5199
23	66698679	5274
6	66698662	5280
64	66698722	5277
32	66698688	5299
48	66698705	5304
40	66698697	5319
24	66698680	5371
83	66698741	5364
66	66698724	5408
19	66698675	5428
50	66698707	5438
79	66698737	5407
38	66698695	5478
93	66698752	5467
51	66698708	5527
18	66698674	5529
30	66698686	5543
99	66698759	5561
88	66698746	5561
8	66698664	5650
78	66698736	5618
31	66698687	5668
65	66698723	5693
59	66698717	5782
63	66698721	5790
98	66698758	5766
70	66698728	5836
10	66698666	5999
89	66698747	6088
73	66698731	6357
16	66698672	6498
92	66698750	6508
95	66698754	6610
12	66698668	7003
