Index	JobID	FLSIMU Runtime sec
66	66675145	764
93	66675205	871
18	66674920	870
3	66674773	1073
7	66674903	1101
15	66674915	797
90	66675198	964
32	66675065	987
16	66674917	1122
64	66675141	1390
36	66675074	1057
5	66674775	1181
65	66675143	753
10	66674908	1146
60	66675131	1290
57	66675121	1404
92	66675203	766
89	66675196	792
72	66675158	1192
98	66675216	1029
99	66675218	1196
95	66675209	1136
19	66674921	1248
68	66675149	1205
67	66675147	1201
63	66675138	1190
70	66675154	915
27	66674940	1267
94	66675206	750
6	66674777	1309
0	66674770	1282
71	66675156	1210
17	66674918	799
4	66674774	1525
50	66675105	1462
62	66675135	1276
43	66675090	1531
58	66675125	1420
34	66675070	1117
86	66675189	1567
73	66675160	772
91	66675200	1325
11	66674910	1297
41	66675084	1235
96	66675211	1144
37	66675077	1306
23	66674930	1565
82	66675181	1132
1	66674771	1537
51	66675107	1123
81	66675179	1498
78	66675172	1640
47	66675099	1617
49	66675104	1657
25	66674936	1636
56	66675119	1259
53	66675112	1644
8	66674906	1633
9	66674907	1321
40	66675082	1683
79	66675174	1507
28	66674943	1199
44	66675093	1636
2	66674772	1374
29	66675059	1659
26	66674938	1624
80	66675176	1579
20	66674924	1629
76	66675168	1493
14	66674913	1664
54	66675114	1563
61	66675133	1559
88	66675194	1528
52	66675109	1665
24	66674933	1629
77	66675170	1668
83	66675183	1665
55	66675117	1639
39	66675080	1230
45	66675094	1566
13	66674912	1626
42	66675087	1720
46	66675097	1161
59	66675129	1738
12	66674911	1784
38	66675079	1635
48	66675102	1677
85	66675187	1498
30	66675061	1658
74	66675162	1648
22	66674928	1650
31	66675063	1675
84	66675185	1684
21	66674926	1543
75	66675166	1675
87	66675192	1741
97	66675213	1543
35	66675072	1568
33	66675068	1622
69	66675152	1283
