Index	JobID	FLSIMU Runtime sec
53	66675155	1012
49	66675146	1190
92	66675231	1613
48	66675144	1764
15	66675069	1443
72	66675197	1524
54	66675157	1515
81	66675217	1759
14	66675066	1149
0	66674923	1489
56	66675161	1194
1	66674925	1586
73	66675199	1712
47	66675142	1904
9	66674944	2333
78	66675210	1823
80	66675215	1812
76	66675207	1534
75	66675204	1827
13	66675064	1674
19	66675078	1200
51	66675151	1321
5	66674935	1735
45	66675139	1762
83	66675220	1564
77	66675208	1444
31	66675106	2098
94	66675233	1702
55	66675159	1725
85	66675223	1724
7	66674939	1928
30	66675103	2391
12	66675062	2329
16	66675071	1770
50	66675148	1769
59	66675169	1706
18	66675076	1292
84	66675221	1132
2	66674927	2321
74	66675202	1853
44	66675136	1741
11	66675060	2227
95	66675234	2290
87	66675225	2360
82	66675219	1817
36	66675116	2282
37	66675118	2336
17	66675073	1844
68	66675188	2290
39	66675124	2390
34	66675113	2493
65	66675182	1719
89	66675227	1910
40	66675128	1975
62	66675175	2378
67	66675186	2487
71	66675195	1901
91	66675230	2512
69	66675191	2318
42	66675132	2467
43	66675134	2356
23	66675086	2495
86	66675224	2285
70	66675193	2296
97	66675242	2343
4	66674931	2301
32	66675108	2379
26	66675095	2509
90	66675228	2719
88	66675226	2442
60	66675171	2233
21	66675083	2422
93	66675232	2247
28	66675098	2420
24	66675091	2455
33	66675110	2358
29	66675101	2438
35	66675115	2403
38	66675120	2367
27	66675096	2408
58	66675167	2316
6	66674937	2655
3	66674929	2370
41	66675130	2389
10	66675057	2415
63	66675178	2351
99	66675245	2475
20	66675081	2440
98	66675244	2097
64	66675180	2320
61	66675173	2345
22	66675085	2313
57	66675165	2523
96	66675235	2636
25	66675092	2546
8	66674941	2481
66	66675184	2374
52	66675153	1852
46	66675140	2361
79	66675212	2415
